Date,Close,Open,High,Low,% Change,% Change Predict
1/4/2005,427.65,429.6,427.65,427.65,-0.30%,-0.26%
1/5/2005,426.55,427.55,426.55,426.55,-0.26%,-1.23%
1/6/2005,421.32,426.77,421.32,421.32,-1.23%,-0.56%
1/7/2005,418.95,421.75,418.95,418.95,-0.56%,0.04%
1/10/2005,419.12,419.38,419.12,419.12,0.04%,0.78%
1/11/2005,422.38,419.98,422.38,422.38,0.78%,0.89%
1/12/2005,426.12,422.62,426.12,426.12,0.89%,-0.23%
1/13/2005,425.12,426.02,425.12,425.12,-0.23%,-0.46%
1/14/2005,423.15,425.25,423.15,423.15,-0.46%,-0.18%
1/17/2005,422.38,422.62,422.38,422.38,-0.18%,0.16%
1/18/2005,423.05,421.75,423.05,423.05,0.16%,-0.05%
1/19/2005,422.85,423.05,422.85,422.85,-0.05%,-0.07%
1/20/2005,422.55,423.15,422.55,422.55,-0.07%,0.99%
1/21/2005,426.75,422.35,426.75,426.75,0.99%,0.12%
1/24/2005,427.27,427.38,427.27,427.27,0.12%,-1.13%
1/25/2005,422.43,427.68,422.43,422.43,-1.13%,0.96%
1/26/2005,426.5,422.15,426.5,426.5,0.96%,-0.07%
1/27/2005,426.2,426.65,426.2,426.2,-0.07%,0.14%
1/28/2005,426.8,426.2,426.8,426.8,0.14%,-0.98%
1/31/2005,422.62,426.38,422.62,422.62,-0.98%,-0.36%
2/1/2005,421.1,422.4,421.1,421.1,-0.36%,0.21%
2/2/2005,421.98,420.98,421.98,421.98,0.21%,-1.16%
2/3/2005,417.1,421.8,417.1,417.1,-1.16%,-0.60%
2/4/2005,414.6,417.1,414.6,414.6,-0.60%,-0.10%
2/7/2005,414.2,414.65,414.2,414.2,-0.10%,-0.34%
2/8/2005,412.8,413.65,412.8,412.8,-0.34%,0.08%
2/9/2005,413.12,412.57,413.12,413.12,0.08%,1.09%
2/10/2005,417.62,413.38,417.62,417.62,1.09%,0.78%
2/11/2005,420.88,417.38,420.88,420.88,0.78%,1.19%
2/14/2005,425.88,420.62,425.88,425.88,1.19%,-0.06%
2/15/2005,425.62,425.62,425.62,425.62,-0.06%,-0.06%
2/16/2005,425.38,425.38,425.38,425.38,-0.06%,0.49%
2/17/2005,427.45,425.2,427.45,427.45,0.49%,0.00%
2/18/2005,427.43,427.27,427.43,427.43,0.00%,-0.02%
2/21/2005,427.35,428.75,427.35,427.35,-0.02%,1.68%
2/22/2005,434.55,427.1,434.55,434.55,1.68%,-0.01%
2/23/2005,434.5,435.5,434.5,434.5,-0.01%,-0.09%
2/24/2005,434.12,434.27,434.12,434.12,-0.09%,0.19%
2/25/2005,434.93,433.62,434.93,434.93,0.19%,0.16%
2/28/2005,435.62,434.88,435.62,435.62,0.16%,-0.66%
3/1/2005,432.75,435.65,432.75,432.75,-0.66%,-0.02%
3/2/2005,432.65,432.35,432.65,432.65,-0.02%,-0.55%
3/3/2005,430.27,431.88,430.27,430.27,-0.55%,0.87%
3/4/2005,434,430.1,434,434,0.87%,0.14%
3/7/2005,434.62,433.98,434.62,434.62,0.14%,1.38%
3/8/2005,440.62,434.62,440.62,440.62,1.38%,0.00%
3/9/2005,440.62,441.12,440.62,440.62,0.00%,0.40%
3/10/2005,442.38,440.43,442.38,442.38,0.40%,0.78%
3/11/2005,445.85,441.85,445.85,445.85,0.78%,-1.05%
3/14/2005,441.18,445.62,441.18,441.18,-1.05%,-0.07%
3/15/2005,440.88,440.88,440.88,440.88,-0.07%,0.63%
3/16/2005,443.65,440.6,443.65,443.65,0.63%,-1.18%
3/17/2005,438.43,443.12,438.43,438.43,-1.18%,0.21%
3/18/2005,439.35,438.85,439.35,439.35,0.21%,-1.82%
3/21/2005,431.35,439,431.35,431.35,-1.82%,-0.95%
3/22/2005,427.25,431.55,427.25,427.25,-0.95%,-0.56%
3/23/2005,424.85,426.85,424.85,424.85,-0.56%,0.05%
3/24/2005,425.05,425.45,425.05,425.05,0.05%,0.28%
3/25/2005,426.25,425.25,426.25,426.25,0.28%,-0.09%
3/28/2005,425.88,425.38,425.88,425.88,-0.09%,0.12%
